세부 페이지,RQ-ID,설계ID,기능이름,1Depth,2Depth,3Depth,기능설명,입력,예외처리
,,FS-SYS-MON-03,외부 API 사용량/비용 추정,,,비용 추정,"- 외부 LLM/임베딩 API 호출 횟수와 토큰 수를 기반으로 비용을 추정한다.
- 일/월 단위로 그래프를 제공한다.","- 호출 로그(토큰 수, 모델 단가 정보)",- 단가 정보가 없는 모델은 비용 계산에서 제외하고 “N/A” 표시.
,,FS-SYS-MON-04,내부 GPU/서버 리소스 사용량 모니터링,,,리소스 사용량,"- 내부 LLM/임베딩 서버의 CPU/GPU/메모리 사용량을 시간별로 표시한다.
- 임계치를 초과하면 경고 상태로 표시한다.",- 시스템 메트릭 수집 에이전트 데이터,"- 수집 실패 시 최근 수집 시점 정보만 보여주고, 실시간 값 대신 “데이터 없음” 표시."
,,FS-SYS-MON-05,에러 로그 요약/Top 에러 코드,,,에러 로그 요약,"- 에러 로그를 코드/메시지별로 집계해 상위 에러 유형을 보여준다.
- 클릭 시 예시 로그 몇 개를 확인할 수 있다.",- 에러 로그 데이터,- 로그 볼륨이 너무 큰 경우 최근 일정 기간/상위 N개만 표시.
,,FS-SYS-MON-06,장애 알림 설정(슬랙/메일 연동 등),,,장애 알림 설정,"- 특정 지표(LLM 실패율, RAG 실패율 등)가 임계치를 넘으면 외부 알림 채널(슬랙/메일 등)로 알려줄 수 있게 설정한다.","- 임계치 설정, 채널 설정","- 외부 연동 실패 시 내부 알림 로그만 남기고, 관리자 화면에 경고 아이콘 표시."
보안/로그 정책,,FS-SYS-SEC-LOG-01,채팅 로그 PII 마스킹 규칙 적용,,보안/로그,PII 마스킹,"- 로그 저장 시 이메일, 전화번호, 주민번호 등 PII 패턴을 자동 마스킹한다.
- 관리자 화면에서도 마스킹된 상태로만 볼 수 있다(정책에 따라).","- 원본 질문 텍스트
 - PII 정규식/모델 결과",- 마스킹 실패 가능성을 줄이기 위해 안전 측으로 과잉 마스킹하는 전략 사용 가능(정책).
,,FS-SYS-SEC-LOG-02,로그/이력 보관 기간 설정,,,보관 기간 설정,"- 질문/응답 로그, 퀴즈 이력, 신고 로그 등 각각의 보관 기간을 설정할 수 있다.
- 기간 초과 데이터는 자동 삭제 또는 비식별화한다.","- 보관 기간 설정 값(일/월 단위)
 - 데이터 생성일",- 필수 보관이 필요한 법정 데이터는 삭제 대신 비식별화/비공개처리로 전환.
,,FS-SYS-SEC-LOG-03,관리자 접근 로그/감사 기록,,,관리자 감사 로그,"- 어떤 관리자가 언제 어떤 화면에 접속하고 어떤 데이터를 조회/수정했는지 기록한다.
- 일정 기간 이후 별도 저장소로 이관할 수 있다.","- 관리자ID
 - 화면/행위 코드
 - 타임스탬프",- 감사 로그가 없으면 보안상 문제이므로 별도 경고 대시보드에서 표시.
도움말/가이드,,FS-HELP-01,서비스 사용 가이드 화면,공통,도움말,사용 가이드,"- 챗봇, 교육, 퀴즈, 신고, 영상 기능 전체를 요약한 사용법을 제공한다.
- 주요 기능별로 스크린샷/설명 포함 가능.",- 관리자 등록 가이드 콘텐츠,- 가이드 텍스트 로딩 실패 시 최소한의 텍스트(FAQ 링크 등)만 제공.
,,FS-HELP-02,롤별 화면 미리보기 데모,,,롤별 예시 화면,"- 직원/관리자/영상제작자/검토자 각각의 대표 화면 구성을 예시 이미지로 보여준다.
- 역할별로 어떤 기능이 있는지 한눈에 이해하도록 돕는다.",- 롤별 설명 텍스트/이미지,- 데모 이미지가 없으면 텍스트로만 구조 설명을 제공.
,,FS-HELP-03,자주 묻는 질문(서비스 사용법용),,,서비스 FAQ,"- 시스템 사용법 관련 고정 FAQ(로그인, 권한, 교육/퀴즈 이용 방법 등)를 별도 페이지로 제공한다.
- 챗봇 도메인 FAQ와는 별도 관리.",- 서비스 FAQ 데이터(질문/답변),- 데이터 없으면 “준비 중입니다” 안내.
롤/권한 관리(표시용),,FS-ROLE-VIEW-01,롤별 접근 가능 기능 목록 테이블,관리자,롤 관리(표시용),롤별 기능 매트릭스,- 롤(직원/관리자/영상제작자/검토자/신고담당자)별 접근 가능한 메뉴/페이지/대시보드를 표로 정리해 보여준다.,"- 롤 정의 테이블
 - 기능 목록","- 표시 전용이며 실제 권한은 Keycloak/그룹웨어 기반이므로, 불일치 시 관리자 경고 문구 표시."
,,FS-ROLE-VIEW-02,사용자별 롤 매핑 조회,,,사용자 롤 조회,- 특정 사용자의 롤 정보를 조회해 어떤 기능에 접근 가능한지 확인한다.,- 조회 대상 사용자ID,- 권한 없는 관리자가 조회 시 접근 차단 및 로그 기록.
,,FS-ROLE-VIEW-03,롤/권한 관련 정책 안내,,,정책 안내,"- 롤 부여/변경 절차, 최소 권한 원칙 등 정책을 텍스트로 설명하는 화면을 제공한다.
- 권한 요청 연락 창구 정보도 함께 안내.",- 정책 텍스트(관리자 등록),- 정책 텍스트가 없으면 “정책 문서가 준비 중입니다” 안내.
,,,,,,,"- 관리자는 자신 계정에 대해서는 역할(롤) 부여·변경·삭제 기능을 사용할 수 없으며, 역할 변경 요청 시 요청자 ID와 대상자 ID가 동일한 경우 해당 요청은 거부한다.",,
시스템(백엔드),,FS-LOG-PIPELINE-01,Raw 로그 → Masked 로그 변환 배치,로그 파이프라인,비식별,변환 배치,"서비스 운영용 Raw 로그(요청·응답·메타데이터)를 기반으로, AI 학습/FAQ/통계 분석에 활용할 수 있는 Masked 로그를 주기적으로 생성한다. 변환 시 주민번호, 전화번호, 이메일, 계좌번호, 신고자/피신고자 이름 등 PII 패턴을 정규식/룰로 검출하여 **** 또는 가명 토큰으로 치환한다. Masked 로그는 별도 스키마/테이블에 저장하며, AI/데이터팀 및 FAQ/통계 기능은 Masked 로그만 조회하도록 한다.","Raw 로그 레코드(질문 텍스트, 응답 텍스트, 사용자ID, 부서, 도메인, 타임스탬프 등), PII 정규식/룰셋","변환 배치 실패 시 기존 Masked 로그는 그대로 유지하고, 재시도 가능하도록 실패 내역을 에러 로그에 남긴다. PII 검출 실패로 인해 일부 민감 정보가 남을 수 있는 리스크를 줄이기 위해, 고위험 패턴(주민번호/계좌번호 등)은 별도 실시간 필터로도 한 번 더 차단한다."
,,FS-LOG-ROLE-01,역할별 로그 접근 제어,로그 접근 제어,역할,필터링,"직원/관리자/신고 담당자 등 역할에 따라 로그와 세션 데이터 접근 범위를 제어한다. 직원은 본인이 생성한 세션의 Raw 내용만 조회 가능하고, user_deleted 플래그가 true인 세션은 조회할 수 없다. 관리자는 통계·집계 결과와 제한된 범위의 샘플 로그만 조회 가능하며, 특정 개인의 전체 대화 이력을 상시로 열람하는 기능은 제공하지 않는다. 신고 담당자는 신고 테이블(신고자ID, 대상ID, 신고유형, 처리상태 등)만 조회하고, 연결된 채팅 전체 내용에는 직접 접근하지 못하도록 한다.","사용자 역할(role), 사용자ID, 부서, 접근 대상(세션/로그/통계/신고 테이블 등)","권한 검증 실패 시 “접근 권한이 없습니다.” 메시지를 반환하고, 접근 시도에 대한 감사 로그를 남긴다. 역할 매핑이 잘못 설정된 경우 관리자 화면에서 수정할 수 있도록 별도의 역할 관리 기능과 검증 로직을 둔다."
